symbol	name	type	code	low	high	a	b	c	d	amount	unit	night	exchange	is_target	relative	deleted	remark	update_time
A	豆一	农产品	A2205	4217.00	6517.00	5764.00	6049.00	5609.00	6450.00	10	吨	1	DCE	1	B	0	reset abcd	2022-02-25 15:28:46
AG	白银	贵金属	AG2205	2857.00	6877.00	4578.00	5188.00			15	千克	1	SHF	1		0	reset abcd	2022-02-25 15:28:46
AL	铝	有色	AL2204	11230.00	24765.00	24785.00	18410.00	23350.00	22165.00	5	吨	1	SHF	1		0	reset abcd	2022-02-25 15:28:46
AP	苹果	农产品	AP2205	4916.00	11956.00	9666.00	7952.00	9618.00	9224.00	10	吨	0	ZCE	1	CJ	0	reset abcd	2022-02-25 15:28:46
AU	黄金	贵金属	AU2206	293.80	454.08	400.20	363.66	401.58		1000	克	1	SHF	1		0	reset abcd	2022-02-25 15:28:46
B	豆二	农产品	B2204	2813.00	5291.00	4370.00	3717.00	5291.00	4977.00	10	吨	1	DCE	1	A,M	0	reset abcd	2022-02-25 15:28:46
BB	胶合板(细木工板)	化工	BB0	215.75	228.25					500	张	0	DCE	1		1	""	2022-01-29 15:14:02
BC	国际铜	有色	BC0	45600.00	78270.00					5	吨	1	INE	1		1	""	2022-01-29 15:14:02
BU	沥青	石油	BU2206	1758.00	3816.00	2560.00	3882.00	3414.00	3722.00	10	吨	1	SHF	1	FU,LU	0	reset abcd	2022-02-25 15:28:46
C	玉米	农产品	C2205	1807.00	2930.00	2480.00	2863.00	2812.00		10	吨	1	DCE	0		0	reset abcd	2022-02-25 15:28:46
CF	棉花	农产品	CF2205	9935.00	22960.00	16535.00	15725.00	22210.00	20840.00	5	吨	1	ZCE	1		0	reset abcd	2022-02-25 15:28:46
CJ	红枣	农产品	CJ2205	8230.00	18180.00	18180.00	12350.00	14430.00	13210.00	5	吨	0	ZCE	1		0	reset abcd	2022-02-25 15:28:46
CS	玉米淀粉	农产品	CS0	2884.00	2925.00					10	吨	1	DCE	1		1	""	2022-01-29 15:14:02
CU	铜	有色	CU2204	35170.00	78270.00	76310.00	66810.00	73640.00	70520.00	5	吨	1	SHF	0		0	reset abcd	2022-02-25 15:28:46
CY	棉纱	农产品	CY0	8200.00	8927.00					10	吨	1	ZCE	1		1	""	2022-01-29 16:01:51
EB	苯乙烯	化工	EB2204	4338.00	10279.00	7767.00	9591.00	7634.00	9570.00	5	吨	1	DCE	1		0	reset abcd	2022-02-25 15:28:46
EG	乙二醇	煤化工	EG2205	4685.00	7566.00	4685.00	5665.00	4960.00	5230.00	10	吨	1	DCE	1		0	reset abcd	2022-02-25 15:28:46
FB	纤维板	化工	FB0	1313.00	1325.00					10	立方米	0	DCE	1		1	""	2022-01-29 15:14:02
FG	玻璃	化工	FG2209	1177.00	3163.00	2288.00	1692.00	2416.00	1846.00	20	吨	1	ZCE	1		0	reset abcd	2022-02-25 15:28:46
FU	燃料油	石油	FU2205	1343.00	3569.00	2339.00	2746.00	2325.00	3569.00	10	吨	1	SHF	1	LU,BU	0	reset abcd	2022-02-25 15:28:46
HC	热轧卷板	黑色	HC2205	2933.00	6727.00	5949.00	3976.00	5166.00	4721.00	10	吨	1	SHF	1	RB	0	reset abcd	2022-02-25 15:28:46
I	铁矿石	黑色	I2205	512.00	1358.00	1033.00	512.00	849.50	655.00	100	吨	1	DCE	1		0	reset abcd	2022-02-25 15:28:46
IC	中证500指数	金融	IC0	0.00	0.00					1	指数点	0	CFX	1		1	""	2022-01-29 16:03:39
IF	沪深300指数	金融	IF0	0.00	0.00					1	指数点	0	CFX	1		1	""	2022-01-29 16:03:39
IH	上证50股指期货	金融	IH0	0.00	0.00					300	指数点	0	CFX	1		1	""	2022-01-29 16:03:39
J	焦炭	煤炭	J2205	1568.50	4550.00	2235.00	3873.50	2201.00	3488.00	100	吨	1	DCE	1		0	reset abcd	2022-02-25 15:28:46
JD	鸡蛋	农产品	JD2205	2530.00	5081.00	4050.00	4450.00	4006.00	4327.00	10	吨	0	DCE	0		0	reset abcd	2022-02-25 15:28:46
JM	焦煤	煤炭	JM2205	1027.50	3878.50	1610.00	3252.50	1501.00	2739.50	60	吨	1	DCE	1		0	reset abcd	2022-02-25 15:28:46
JR	粳稻谷	农产品	JR0	0.00	0.00					10	吨	1	ZCE	1		1	""	2022-01-29 16:01:51
L	塑料	化工	L2205	8106.00	10325.00	9800.00	8106.00	9512.00	8638.00	5	吨	1	DCE	0		0	reset abcd	2022-02-25 15:28:46
LH	生猪	农产品	LH2205	13400.00	30680.00	13780.00	14330.00			16	吨	0	DCE	0		0	reset abcd	2022-02-25 15:28:46
LR	晚籼稻	农产品	LR0	0.00	0.00					10	吨	1	ZCE	1		1	""	2022-01-29 16:01:51
LU	低硫燃料油	石油	LU2204	1970.00	4655.00	3915.00	3130.00	4655.00		10	吨	1	INE	0	FU,BU	0	reset abcd	2022-02-25 15:28:46
M	豆粕	油料	M2205	2527.00	4107.00	3480.00	2890.00	4107.00	3884.00	10	吨	1	DCE	1		0	reset abcd	2022-02-25 15:28:46
MA	甲醇	煤化工	MA2205	1531.00	4235.00	2402.00	2986.00	2680.00	2882.00	10	吨	1	ZCE	0		0	reset abcd	2022-02-25 15:28:46
NI	镍	有色	NI2206	89550.00	182000.00	128870.00	122080.00	182000.00		1	吨	1	SHF	1	SS	0	reset abcd	2022-02-25 15:28:46
NR	20号胶	化工	NR2204	7345.00	13040.00	12450.00	11090.00	12380.00	11155.00	10	吨	1	INE	1		0	reset abcd	2022-02-25 15:28:46
OI	菜油	油料	OI2205	11550.00	13896.00	9408.00	10169.00	8908.00	13896.00	10	吨	1	ZCE	1		0	reset abcd	2022-02-25 15:28:46
P	棕榈油	油料	P2205	3984.00	11834.00	6862.00	7808.00	6406.00	11834.00	10	吨	1	DCE	1		0	reset abcd	2022-02-25 15:28:46
PB	铅	有色	PB2204	12730.00	16680.00	14275.00	16895.00	14730.00	15640.00	5	吨	1	SHF	0		0	reset abcd	2022-02-25 15:28:46
PF	短纤	化工	PF2205	6560.00	8578.00	6560.00	8020.00	7168.00	7874.00	5	吨	1	ZCE	0		0	reset abcd	2022-02-25 15:28:46
PG	液化石油气	石油	PG2204	4043.00	6836.00	3700.00	6410.00	4240.00	6376.00	20	吨	1	DCE	0		0	reset abcd	2022-02-25 15:28:46
PK	花生	农产品	PK2204	7794.00	8440.00	10002.00	7794.00	8440.00		5	吨	0	ZCE	1		0	reset abcd	2022-02-25 15:28:46
PM	普通小麦	农产品	PM0	0.00	0.00					50	吨	0	ZCE	1		1	""	2022-01-29 16:01:51
PP	聚丙烯	化工	PP2205	7751.00	10612.00	10130.00	7751.00	9015.00	8282.00	5	吨	1	DCE	1		0	reset abcd	2022-02-25 15:28:46
RB	螺纹钢	黑色	RB2205	3103.00	6208.00	5660.00	3765.00	5034.00	4525.00	10	吨	1	SHF	1	HC	0	reset abcd	2022-02-25 15:28:46
RI	早籼稻	农产品	RI0	0.00	0.00					10	吨	1	ZCE	1		1	""	2022-01-29 16:01:51
RM	菜粕	油料	RM2205	2086.00	3863.00	2973.00	2499.00	3863.00	3589.00	10	吨	1	ZCE	1		0	reset abcd	2022-02-25 15:28:46
RR	粳米	农产品	RR0	0.00	0.00					10	吨	1	DCE	1		1	""	2022-01-29 15:14:02
RS	菜籽(油菜籽)	农产品	RS0	0.00	0.00					10	吨	1	ZCE	1		1	""	2022-01-29 16:01:51
RU	天然橡胶	化工	RU2209	9300.00	17335.00	13995.00	15865.00	14075.00	15005.00	10	吨	1	SHF	1		0	reset abcd	2022-02-25 15:28:46
SA	纯碱	化工	SA2209	1288.00	3648.00	3348.00	2141.00	3246.00	2702.00	20	吨	1	ZCE	1		0	reset abcd	2022-02-25 15:28:46
SC	上海原油	石油	SC2204	205.10	637.00	428.70	469.80	406.60	637.00	1000	桶	1	INE	1	FU,LU,BU	0	reset abcd	2022-02-25 15:28:46
SF	硅铁	黑色	SF2205	5280.00	17950.00	14858.00	8008.00	9644.00	8700.00	5	吨	0	ZCE	1	SM	0	reset abcd	2022-02-25 15:28:46
SM	锰硅	黑色	SM2206	5866.00	13400.00	7716.00	8810.00	7914.00	8678.00	5	吨	0	ZCE	1	SF	0	reset abcd	2022-02-25 15:28:46
SN	锡	有色	SN2204	109070.00	344790.00	344790.00				1	吨	1	SHF	0		0	reset abcd	2022-02-25 15:28:46
SP	纸浆	化工	SP2206	4252.00	7652.80	6220.00	4880.00	6762.00	6594.00	10	吨	1	SHF	1		0	reset abcd	2022-02-25 15:28:46
SR	白糖	农产品	SR2205	5664.00	7445.00	5558.00	6230.00	5655.00	5803.00	10	吨	1	ZCE	0		0	reset abcd	2022-02-25 15:28:46
SS	不锈钢	黑色	SS2204	15480.00	21690.00	19595.00	15325.00	19195.00	17635.00	5	吨	1	SHF	1	NI	0	reset abcd	2022-02-25 15:28:46
T	10年期国债	金融	T0	0.00	0.00					1	指数点	0	CFX	1		1	""	2022-01-29 16:03:39
TA	PTA	化工	TA2205	4450.00	5964.00	5642.00	4450.00	5964.00		5	吨	1	ZCE	0		0	reset abcd	2022-02-25 15:28:46
TF	5年期国债	金融	TF0	0.00	0.00					1	指数点	0	CFX	1		1	""	2022-01-29 16:03:39
TS	2年期国债	金融	TS0	0.00	0.00					1	指数点	0	CFX	1		1	""	2022-01-29 16:03:39
UR	尿素	煤化工	UR2205	1492.00	3357.00	3082.00	2105.00	2738.00	2300.00	20	吨	0	ZCE	1		0	reset abcd	2022-02-25 15:28:46
V	PVC	煤化工	V2205	4950.00	13380.00	12210.00	7926.00	9513.00	8405.00	5	吨	1	DCE	0		0	reset abcd	2022-02-25 15:28:46
WH	强麦(优质强筋小麦)	农产品	WH0	0.00	0.00					10	吨	1	ZCE	1		1	""	2022-01-29 16:01:51
WR	线材	黑色	WR0	0.00	0.00					10	吨	0	SHF	1		1	""	2022-01-29 16:02:16
Y	豆油	油料	Y2205	5114.00	10928.00	7834.00	8578.00	7400.00	10928.00	10	吨	1	DCE	1		0	reset abcd	2022-02-25 15:28:46
ZC	动力煤	煤炭	ZC2205	476.40	1982.00	1388.00	659.00	898.60	738.00	100	吨	1	ZCE	1		0	reset abcd	2022-02-25 15:28:46
ZN	沪锌	有色	ZN2204	14690.00	27720.00	27665.00	22360.00	26205.00	24525.00	5	吨	1	SHF	0		0	reset abcd	2022-02-25 15:28:46
